STUDENTID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22
227,3.02,3,1,1,1,1,3,1,5,4,5,4,5,3,4,2,4,6,3,5,4,3,5,5,6,2,1,2,1,2,2,4,1,1,1,2,1,1,1,1,2,1,1,1,1,1
228,1,1,1,2,1,1,1,1,1,4,1,5,3,6,6,5,6,6,6,3.7,6,5,4,6,6,1,1,4,5,4,1,5,1,2,1,1,1,1,1,1,1,2,3,5,5,4
229,2,5,5,2,4,4,4,4,1,3,3,3,6,6,5,6,6,6,6,6,5,5,6,3,6,2,2,2,1,2,3,6,1,2,1,2,1,1,2,2,1,2,3,1.43,2,2
230,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,2,6,1,1,1,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2
231,4,4,3,4,4,4,3,5,4,3,3,4,6,5,3,6,4,6,6,1,6,6,6,3,5,2,2,5,1,2,1,4,1,2,2,2,1,2,2,1,2,1,1,1,2,2
232,5,5,4,3,5,4,3,5,3,2,3,4,5,2,2,4,1,3,4,3,5,5,4,1,2,5,4,3,2.43,1,1,2,1,5,3,2,1,4,5,4,2,4,4,1,2.37,2.32
233,1,2,3,1,1,1,1,1,1,6,1,3,6,5,6,6,5,6,6,3,4,6,6,2,6,2,2.79,2,1,2.87,1,6,1,1,1,1,1,1,2,2,1,1,1,2,2,2
234,1,1,1,1,1,1,1,1,5,6,5,6,6,1,6,1,1,1,1,6,2,1,1,4,6,1,5,2,1,1,2,6,1,1,1,1,1,1,1,1,1,2,2,1,1,1
237,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
238,1,1,1,1,1,1,1,1,1,6,1,6,6,6,6,1,6,6,5,2,6,5,6,6,2,5,5,3,4,4,3,5,1,1,1,1,1,1,2,1,1,2,1,1,3,3
239,1,5,2,1,5,2,1,5,3,5,1,5,6,6,6,6,6,6,6,3,6,6,5,3,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1
